,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.925599992275238,"of, the, ser, to, dinero, parents, for, students, lista, nuevo","['We', 'remember', 'the', 'students', ',', 'through', 'artists', 'illustrations', '&', 'amp', ';', 'words', 'of', 'the', 'families', 'struggling', 'for']","We,remember,the,students,,,through,artists,illustrations,&,amp,;,words,of,the,families,struggling,for",https://twitter.com/telesurenglish/status/564926771816984576,2015-02-09 23:20:12+00:00,"We remember the 43 #Ayotzinapa students, through artists’ illustrations&amp;words of the families struggling for #justice http://t.co/82PpY5O3GK","We remember the 43 #Ayotzinapa students, through artists’ illustrations&amp;words of the families struggling for #justice http://t.co/82PpY5O3GK",5.64927e+17,"{'username': 'telesurenglish', 'displayname': 'teleSUR English', 'id': 296005306, 'description': 'teleSUR English provides the best coverage of Latin America and an alternative perspective on global events. \ntelesurenglish.net', 'rawDescription': 'teleSUR English provides the best coverage of Latin America and an alternative perspective on global events. \nhttps://t.co/j672A0RsKC', 'descriptionUrls': [{'text': 'telesurenglish.net', 'url': 'https://www.telesurenglish.net', 'tcourl': 'https://t.co/j672A0RsKC', 'indices': [110, 133]}], 'verified': False, 'created': '2011-05-10T01:28:09+00:00', 'followersCount': 113136, 'friendsCount': 3925, 'statusesCount': 169509, 'favouritesCount': 4641, 'listedCount': 1918, 'mediaCount': 82046, 'location': 'Quito, Ecuador', 'protected': False, 'linkUrl': 'http://telesurenglish.net', 'linkTcourl': 'https://t.co/bYswj7pApA', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1280499295565877248/GMpBc2ha_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/296005306/1607629543', 'url': 'https://twitter.com/telesurenglish'}",[],[],0,4,2,0,5.64927e+17,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,"[{'previewUrl': 'https://pbs.twimg.com/media/B9cCwpwCEAAHIgT?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B9cCwpwCEAAHIgT?format=jpg&name=large', 'type': 'photo'}]",,,,"We remember the students, through artists illustrations&amp;words of the families struggling for","['We', 'remember', 'the', 'students', ',', 'through', 'artists', 'illustrations', '&', 'amp', ';', 'words', 'of', 'the', 'families', 'struggling', 'for']"
1,1.0,0.756600022315979,"carteles, ayotzinapa, das, pobres, general, procuradura, pgr, alguien, bajo, responsabilidad","['caso', 'particular', 'matanza', 'ayotzinapa', 'parece', 'sea.responsabilidad', 'obrador']","caso,particular,matanza,ayotzinapa,parece,sea.responsabilidad,obrador",https://twitter.com/CarlosElifeleth/status/562373784414343170,2015-02-02 22:15:33+00:00,@Endevourn en este caso en particular de la matanza de ayotzinapa no me parece que sea.responsabilidad de obrador,@Endevourn en este caso en particular de la matanza de ayotzinapa no me parece que sea.responsabilidad de obrador,5.62374e+17,"{'username': 'CarlosElifeleth', 'displayname': 'Carlos Elifeleth', 'id': 859643126, 'description': 'Llámame chairo', 'rawDescription': 'Llámame chairo', 'descriptionUrls': [], 'verified': False, 'created': '2012-10-03T12:51:55+00:00', 'followersCount': 31, 'friendsCount': 139, 'statusesCount': 550, 'favouritesCount': 124, 'listedCount': 0, 'mediaCount': 2, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/468555982444826624/nX854VXi_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/859643126/1400548200', 'url': 'https://twitter.com/CarlosElifeleth'}",[],[],0,0,0,0,5.61642e+17,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,en este caso en particular de la matanza de ayotzinapa no me parece que sea.responsabilidad de obrador,"['caso', 'particular', 'matanza', 'ayotzinapa', 'parece', 'sea.responsabilidad', 'obrador']"
2,2.0,0.8783000111579895,"solidaridad, suiza, ayotzinapa, mexicano, pueblo, darle, en, defensores, san, causa","['Solidaridad', 'pueblo', 'mexicano', 'Suiza', '.', 'Testimonios', 'Ayotzinapa', '.', ':', 'Durante', 'visita', 'hizo', 'comi', '...']","Solidaridad,pueblo,mexicano,Suiza,.,Testimonios,Ayotzinapa,.,:,Durante,visita,hizo,comi,...",https://twitter.com/5aintDraco/status/564637575302754304,2015-02-09 04:11:03+00:00,Solidaridad con el pueblo mexicano desde Suiza. Testimonios de Ayotzinapa.: Durante la visita que hizo la comi... http://t.co/9y327DYbrp,Solidaridad con el pueblo mexicano desde Suiza. Testimonios de Ayotzinapa.: Durante la visita que hizo la comi... bit.ly/1xTTIQ6,5.64638e+17,"{'username': '5aintDraco', 'displayname': 'Draco L. Dracul', 'id': 161885611, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2010-07-02T01:40:35+00:00', 'followersCount': 775, 'friendsCount': 874, 'statusesCount': 73194, 'favouritesCount': 41, 'listedCount': 8, 'mediaCount': 38679, 'location': '', 'protected': False, 'linkUrl': 'http://eldragonario.blogspot.mx/', 'linkTcourl': 'http://t.co/W8XWX8ybV8', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/494684404480880642/gHoR6GRE_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/161885611/1611869566', 'url': 'https://twitter.com/5aintDraco'}",['http://bit.ly/1xTTIQ6'],['http://t.co/9y327DYbrp'],0,1,0,0,5.64638e+17,es,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://twitterfeed.com,twitterfeed,,,,,Solidaridad con el pueblo mexicano desde Suiza. Testimonios de Ayotzinapa.: Durante la visita que hizo la comi...,"['Solidaridad', 'pueblo', 'mexicano', 'Suiza', '.', 'Testimonios', 'Ayotzinapa', '.', ':', 'Durante', 'visita', 'hizo', 'comi', '...']"
3,3.0,0.8052999973297119,"informe, dar, maana, vocero, caso, ayotzinapa, buen, atencin, manifestaciones, quitan","['Informe', 'caso', 'Ayotzinapa', 'entregado', 'Organizacin', 'Naciones', 'Unidas', ':', 'Informe', 'entregado', 'l', '...']","Informe,caso,Ayotzinapa,entregado,Organizacin,Naciones,Unidas,:,Informe,entregado,l,...",https://twitter.com/herbert_mirus/status/562411626234531840,2015-02-03 00:45:55+00:00,Informe sobre el caso de Ayotzinapa entregado a la Organización de las Naciones Unidas: Informe entregado el l... http://t.co/esfEucqSPo,Informe sobre el caso de Ayotzinapa entregado a la Organización de las Naciones Unidas: Informe entregado el l... bit.ly/16o9vRw,5.62412e+17,"{'username': 'herbert_mirus', 'displayname': 'Son Herbert ハーバート', 'id': 2497068924, 'description': '♿️ artist gamer trem @CCoeSport cosas relasion de anime oh manga juego cartas oh art liutracion', 'rawDescription': '♿️ artist gamer trem @CCoeSport cosas relasion de anime oh manga juego cartas oh art liutracion', 'descriptionUrls': [], 'verified': False, 'created': '2014-05-15T20:13:59+00:00', 'followersCount': 2040, 'friendsCount': 584, 'statusesCount': 158252, 'favouritesCount': 38635, 'listedCount': 134, 'mediaCount': 26055, 'location': 'cuernavaca mor', 'protected': False, 'linkUrl': 'https://linktr.ee/herbert_mirus_c', 'linkTcourl': 'https://t.co/Ji9DBcTFKG', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1361635374808752129/VUhGnPWN_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2497068924/1610575899', 'url': 'https://twitter.com/herbert_mirus'}",['http://bit.ly/16o9vRw'],['http://t.co/esfEucqSPo'],0,0,0,0,5.62412e+17,es,"<a href=""http://twitterfeed.com"" rel=""nofollow"">twitterfeed</a>",http://twitterfeed.com,twitterfeed,,,,,Informe sobre el caso de Ayotzinapa entregado a la Organizacin de las Naciones Unidas: Informe entregado el l...,"['Informe', 'caso', 'Ayotzinapa', 'entregado', 'Organizacin', 'Naciones', 'Unidas', ':', 'Informe', 'entregado', 'l', '...']"
5,4.0,0.86080002784729,"en, video, habla, repblica, ayotzinapa, familias, centroprodh, nadie, pone, dan","['En', 'habla', 'mixteco', ',', 'tlapaneco', ',', 'amuzgo', ',', 'nhuatl', '...']","En,habla,mixteco,,,tlapaneco,,,amuzgo,,,nhuatl,...",https://twitter.com/JaqueAlReyTV/status/564919352487448578,2015-02-09 22:50:43+00:00,"En #Ayotzinapa se habla mixteco, tlapaneco, amuzgo, náhuatl... #MemoriaYpresente https://t.co/hruxxYwpU3 #YaMeCanse30 #YaSeQueNoAplauden","En #Ayotzinapa se habla mixteco, tlapaneco, amuzgo, náhuatl... #MemoriaYpresente youtube.com/watch?v=wPBVZH… #YaMeCanse30 #YaSeQueNoAplauden",5.64919e+17,"{'username': 'JaqueAlReyTV', 'displayname': 'Jaque Al Rey', 'id': 1085771977, 'description': 'facebook.com/Jaque.TV.alrey/', 'rawDescription': 'https://t.co/7BdCjL36gj', 'descriptionUrls': [{'text': 'facebook.com/Jaque.TV.alrey/', 'url': 'http://www.facebook.com/Jaque.TV.alrey/', 'tcourl': 'https://t.co/7BdCjL36gj', 'indices': [0, 23]}], 'verified': False, 'created': '2013-01-13T11:06:40+00:00', 'followersCount': 2498, 'friendsCount': 426, 'statusesCount': 12511, 'favouritesCount': 393, 'listedCount': 58, 'mediaCount': 4219, 'location': '', 'protected': False, 'linkUrl': 'http://rompeviento.tv/?cat=51', 'linkTcourl': 'https://t.co/rYS50A5XEt', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/750061320909627392/-mpXZa-Y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1085771977/1467662903', 'url': 'https://twitter.com/JaqueAlReyTV'}",['https://www.youtube.com/watch?v=wPBVZHGxzFs&index=1&list=PLFlX4x6-Gen5DhJ2FHN7K4-GfnCAnKVQA'],['https://t.co/hruxxYwpU3'],0,1,0,0,5.64919e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,"En se habla mixteco, tlapaneco, amuzgo, nhuatl...","['En', 'habla', 'mixteco', ',', 'tlapaneco', ',', 'amuzgo', ',', 'nhuatl', '...']"
11,5.0,0.8917999863624573,"dice, jornada, ayotzinapa, una, acepta, luis, la, caso, solidariza, asamblea","['Asamblea', 'pro', 'Ayotzinapa', ',', 'renuente', 'boicotear', 'prximas', 'elecciones', '/La', 'Jornada']","Asamblea,pro,Ayotzinapa,,,renuente,boicotear,prximas,elecciones,/La,Jornada",https://twitter.com/AntenaSanLuis/status/564823667507351553,2015-02-09 16:30:30+00:00,"Asamblea pro Ayotzinapa, renuente a boicotear las próximas elecciones http://t.co/7SSwzeKhWK /La Jornada http://t.co/X3wU7wsl5Y","Asamblea pro Ayotzinapa, renuente a boicotear las próximas elecciones bit.ly/1CaLPuu /La Jornada http://t.co/X3wU7wsl5Y",5.64824e+17,"{'username': 'AntenaSanLuis', 'displayname': 'Antena San Luis', 'id': 184827671, 'description': 'La plataforma informativa digital más potente del centro de #México / Av. Real de Lomas # 1005 4to, Piso Torre 2, Lomas 4ta. Sección, 78216 San Luis, S.L.P.', 'rawDescription': 'La plataforma informativa digital más potente del centro de #México / Av. Real de Lomas # 1005 4to, Piso Torre 2, Lomas 4ta. Sección, 78216 San Luis, S.L.P.', 'descriptionUrls': [], 'verified': False, 'created': '2010-08-30T15:47:01+00:00', 'followersCount': 121384, 'friendsCount': 1799, 'statusesCount': 269537, 'favouritesCount': 1002, 'listedCount': 418, 'mediaCount': 143529, 'location': 'San Luis Potosí, SLP.', 'protected': False, 'linkUrl': 'https://www.antenasanluis.mx', 'linkTcourl': 'https://t.co/oFKRQ4G121', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1247228040641499143/vs8Cgvbb_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/184827671/1620069584', 'url': 'https://twitter.com/AntenaSanLuis'}",['http://bit.ly/1CaLPuu'],['http://t.co/7SSwzeKhWK'],0,1,0,0,5.64824e+17,es,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,"[{'previewUrl': 'https://pbs.twimg.com/media/B9aZlQyCUAAiSZd?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/B9aZlQyCUAAiSZd?format=jpg&name=large', 'type': 'photo'}]",,,,"Asamblea pro Ayotzinapa, renuente a boicotear las prximas elecciones /La Jornada","['Asamblea', 'pro', 'Ayotzinapa', ',', 'renuente', 'boicotear', 'prximas', 'elecciones', '/La', 'Jornada']"
12,6.0,0.9025999903678894,"pgr, parar, gust, ayotzinapa, columna, caso, hoguera, va, vivo, marco","['Manipula', 'PGR', 'evidencias', 'cuadrar', 'caso', 'Ayotzinapa', ':', 'antroplogos', 'argentinos', 'va']","Manipula,PGR,evidencias,cuadrar,caso,Ayotzinapa,:,antroplogos,argentinos,va",https://twitter.com/cesarstrum/status/564936568968720384,2015-02-09 23:59:08+00:00,Manipula PGR evidencias para cuadrar caso Ayotzinapa: antropólogos argentinos http://t.co/ZyLxdJempr vía @revistaproceso,Manipula PGR evidencias para cuadrar caso Ayotzinapa: antropólogos argentinos proceso.com.mx/?p=395310 vía @revistaproceso,5.64937e+17,"{'username': 'cesarstrum', 'displayname': 'CesarStrum!', 'id': 286410236, 'description': 'Classical and electrical guitar player. Theorbist. Trying to play anything with strings that can be plucked.', 'rawDescription': 'Classical and electrical guitar player. Theorbist. Trying to play anything with strings that can be plucked.', 'descriptionUrls': [], 'verified': False, 'created': '2011-04-22T23:28:29+00:00', 'followersCount': 286, 'friendsCount': 663, 'statusesCount': 2821, 'favouritesCount': 3098, 'listedCount': 1, 'mediaCount': 122, 'location': 'México, D. F.', 'protected': False, 'linkUrl': 'http://www.cesarcastellanos.com.mx', 'linkTcourl': 'https://t.co/LYzwsu1lAy', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1007348775285710848/x1aY-7dl_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/286410236/1431145891', 'url': 'https://twitter.com/cesarstrum'}",['http://www.proceso.com.mx/?p=395310'],['http://t.co/ZyLxdJempr'],0,0,0,0,5.64937e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,"[{'username': 'revistaproceso', 'displayname': 'revista proceso', 'id': 1235378646891859970, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/revistaproceso'}]",Manipula PGR evidencias para cuadrar caso Ayotzinapa: antroplogos argentinos va,"['Manipula', 'PGR', 'evidencias', 'cuadrar', 'caso', 'Ayotzinapa', ':', 'antroplogos', 'argentinos', 'va']"
161,7.0,0.8781999945640564,"de, ayotzinapa, el, normal, la, detenidos, poltica, meses, mundo, ante","['Cuatro', 'meses', 'lucha', 'zcalo', 'lleno', ',', 'miles', 'abrazan', '.']","Cuatro,meses,lucha,zcalo,lleno,,,miles,abrazan,.",https://twitter.com/JaqueAlReyTV/status/564923300426424320,2015-02-09 23:06:25+00:00,"#Video Cuatro meses de lucha y el zócalo lleno, miles abrazan a #Ayotzinapa. https://t.co/SqsLt6UOsG  #YaSeQueNoAplauden #YaMeCansé30","#Video Cuatro meses de lucha y el zócalo lleno, miles abrazan a #Ayotzinapa. youtube.com/watch?v=h976af…  #YaSeQueNoAplauden #YaMeCansé30",5.64923e+17,"{'username': 'JaqueAlReyTV', 'displayname': 'Jaque Al Rey', 'id': 1085771977, 'description': 'facebook.com/Jaque.TV.alrey/', 'rawDescription': 'https://t.co/7BdCjL36gj', 'descriptionUrls': [{'text': 'facebook.com/Jaque.TV.alrey/', 'url': 'http://www.facebook.com/Jaque.TV.alrey/', 'tcourl': 'https://t.co/7BdCjL36gj', 'indices': [0, 23]}], 'verified': False, 'created': '2013-01-13T11:06:40+00:00', 'followersCount': 2498, 'friendsCount': 426, 'statusesCount': 12511, 'favouritesCount': 393, 'listedCount': 58, 'mediaCount': 4219, 'location': '', 'protected': False, 'linkUrl': 'http://rompeviento.tv/?cat=51', 'linkTcourl': 'https://t.co/rYS50A5XEt', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/750061320909627392/-mpXZa-Y_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/1085771977/1467662903', 'url': 'https://twitter.com/JaqueAlReyTV'}",['https://www.youtube.com/watch?v=h976af4Zq94&list=PLFlX4x6-Gen5DhJ2FHN7K4-GfnCAnKVQA'],['https://t.co/SqsLt6UOsG'],0,0,0,0,5.64923e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,,,,,"Cuatro meses de lucha y el zcalo lleno, miles abrazan a .","['Cuatro', 'meses', 'lucha', 'zcalo', 'lleno', ',', 'miles', 'abrazan', '.']"
168,8.0,0.9025999903678894,"marcha, johnmackerman, pea, ayotzinapa, as, revolucion, mas, quiere, nieto, lasillarota","['Parlamento', 'Europeo', 'plantea', 'recursos', 'investigacin', 'independiente', 'caso', ':', '//', 'va', 'Revolucion3_0']","Parlamento,Europeo,plantea,recursos,investigacin,independiente,caso,:,//,va,Revolucion3_0",https://twitter.com/OmarCarreraP/status/564220037758980097,2015-02-08 00:31:54+00:00,"• Parlamento Europeo plantea recursos para investigación independiente por caso #Ayotzinapa
http://t.co/RWLhE8JG9E 
vía Revolucion3_0","• Parlamento Europeo plantea recursos para investigación independiente por caso #Ayotzinapa
rev30.com/1KAT8h9 
vía Revolucion3_0",5.6422e+17,"{'username': 'OmarCarreraP', 'displayname': 'Omar Carrera', 'id': 405139980, 'description': 'Político, comprometido con mi tierra, Zacatecas.', 'rawDescription': 'Político, comprometido con mi tierra, Zacatecas.', 'descriptionUrls': [], 'verified': False, 'created': '2011-11-04T22:29:05+00:00', 'followersCount': 1321, 'friendsCount': 1016, 'statusesCount': 11546, 'favouritesCount': 872, 'listedCount': 7, 'mediaCount': 6144, 'location': 'Fresnillo, Zac', 'protected': False, 'linkUrl': 'https://www.facebook.com/omarcarreraperez/', 'linkTcourl': 'https://t.co/31c7zKHwrq', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1354421795395416066/TEQcGMRK_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/405139980/1617517058', 'url': 'https://twitter.com/OmarCarreraP'}",['http://rev30.com/1KAT8h9'],['http://t.co/RWLhE8JG9E'],0,0,0,0,5.6422e+17,es,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",https://ifttt.com,IFTTT,,,,,Parlamento Europeo plantea recursos para investigacin independiente por caso :// va Revolucion3_0,"['Parlamento', 'Europeo', 'plantea', 'recursos', 'investigacin', 'independiente', 'caso', ':', '//', 'va', 'Revolucion3_0']"
169,9.0,0.8917999863624573,"ayotzinapa, fotos, caso, debe, todos, olvidar, denuncian, menos, sedena, ifai","['Sedena', 'debe', 'revelar', 'fotos', 'bitcoras', 'caso', 'Ayotzinapa', ':', 'Ifai']","Sedena,debe,revelar,fotos,bitcoras,caso,Ayotzinapa,:,Ifai",https://twitter.com/ShaftF/status/564131874231304194,2015-02-07 18:41:34+00:00,Sedena debe revelar fotos y bitácoras del caso Ayotzinapa: Ifai http://t.co/ljsuyxGqcD,Sedena debe revelar fotos y bitácoras del caso Ayotzinapa: Ifai fb.me/3dyuBwO7x,5.64132e+17,"{'username': 'ShaftF', 'displayname': 'shaft_fierroni', 'id': 579080625, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2012-05-13T14:25:30+00:00', 'followersCount': 83, 'friendsCount': 23, 'statusesCount': 93505, 'favouritesCount': 0, 'listedCount': 10, 'mediaCount': 675, 'location': 'México D.F', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2215032440/50352_27327392498_2231105_n_normal.jpg', 'profileBannerUrl': None, 'url': 'https://twitter.com/ShaftF'}",['http://fb.me/3dyuBwO7x'],['http://t.co/ljsuyxGqcD'],0,0,0,0,5.64132e+17,es,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,,,,,Sedena debe revelar fotos y bitcoras del caso Ayotzinapa: Ifai,"['Sedena', 'debe', 'revelar', 'fotos', 'bitcoras', 'caso', 'Ayotzinapa', ':', 'Ifai']"
215,10.0,0.9025999903678894,"desapariciones, casa, ayotzinapa, pas, caso, llegan, faltan, activista, plan, artculo","['FALTAN', 'LOS', 'CMOS', ',', 'SOBRAN', 'LOS', 'PORQUS', '``', 'pas', 'pasa', 'Por']","FALTAN,LOS,CMOS,,,SOBRAN,LOS,PORQUS,``,pas,pasa,Por",https://twitter.com/Democracia_mx/status/564876333403361280,2015-02-09 19:59:47+00:00,"FALTAN LOS CÓMOS, SOBRAN LOS PORQUÉS #Ayotzinapa #DesapariciónForzada ""el país donde no pasa nada Por @BarbaraCabrera http://t.co/YkuBZ3IgZ1","FALTAN LOS CÓMOS, SOBRAN LOS PORQUÉS #Ayotzinapa #DesapariciónForzada ""el país donde no pasa nada Por @BarbaraCabrera ow.ly/ILy9N",5.64876e+17,"{'username': 'Democracia_mx', 'displayname': 'Antonio Moreno', 'id': 349972773, 'description': 'En busca de caminos a la democracia...', 'rawDescription': 'En busca de caminos a la democracia...', 'descriptionUrls': [], 'verified': False, 'created': '2011-08-07T00:47:16+00:00', 'followersCount': 3567, 'friendsCount': 3825, 'statusesCount': 197447, 'favouritesCount': 74002, 'listedCount': 21, 'mediaCount': 31543, 'location': 'México, D.F.', 'protected': False, 'linkUrl': 'http://www.diariodemocraciaenmexicoya.com/', 'linkTcourl': 'https://t.co/vyZTEKKTsp', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2678789128/b6f619f4081defacfa580ea231efe0ec_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/349972773/1506306078', 'url': 'https://twitter.com/Democracia_mx'}",['http://ow.ly/ILy9N'],['http://t.co/YkuBZ3IgZ1'],0,0,0,0,5.64876e+17,es,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>",http://www.hootsuite.com,Hootsuite,,,,"[{'username': 'BarbaraCabrera', 'displayname': 'Dᴏᴄᴛᴏʀᴀ ᴇɴ ᴀᴄᴄɪᴏ́ɴ', 'id': 131302032, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/BarbaraCabrera'}]","FALTAN LOS CMOS, SOBRAN LOS PORQUS ""el pas donde no pasa nada Por","['FALTAN', 'LOS', 'CMOS', ',', 'SOBRAN', 'LOS', 'PORQUS', '``', 'pas', 'pasa', 'Por']"
245,11.0,0.8052999973297119,"an, caso, da, puede, ejrcito, ahora, tambin, nueva, quien, ayotzinapa","['Caso', 'Ayotzinapa', 'puede', 'cerrarse', ':', 'CNDH']","Caso,Ayotzinapa,puede,cerrarse,:,CNDH",https://twitter.com/Nataly_Ji/status/562027760378339328,2015-02-01 23:20:34+00:00,#EnVideo Caso Ayotzinapa no puede cerrarse: CNDH,#EnVideo Caso Ayotzinapa no puede cerrarse: CNDH,5.62028e+17,"{'username': 'Nataly_Ji', 'displayname': 'Nataly Jimenez', 'id': 920687437, 'description': 'Disfruto mi vida junto al mar... Yoga, Buceo, Natación, Tennis y un poco de Surf... jeje', 'rawDescription': 'Disfruto mi vida junto al mar... Yoga, Buceo, Natación, Tennis y un poco de Surf... jeje', 'descriptionUrls': [], 'verified': False, 'created': '2012-11-02T09:32:41+00:00', 'followersCount': 1723, 'friendsCount': 1609, 'statusesCount': 158161, 'favouritesCount': 848, 'listedCount': 87, 'mediaCount': 44548, 'location': 'Lázaro Cárdenas, Mich.', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/378800000859579583/NfB4Zbw-_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/920687437/1404239367', 'url': 'https://twitter.com/Nataly_Ji'}",[],[],0,0,0,0,5.62028e+17,es,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",https://dlvrit.com/,dlvr.it,,,,,Caso Ayotzinapa no puede cerrarse: CNDH,"['Caso', 'Ayotzinapa', 'puede', 'cerrarse', ':', 'CNDH']"
249,12.0,0.756600022315979,"via, omarel, est, humanos, oficial, versin, lo, voz, hijos, pgr_mx","['Caso', 'Ayotzinapa', ',', 'aprender', 'Auschwitz', 'via']","Caso,Ayotzinapa,,,aprender,Auschwitz,via",https://twitter.com/enriqueg1969/status/562184000064589825,2015-02-02 09:41:25+00:00,"Caso Ayotzinapa, tiene que aprender de Auschwitz http://t.co/1FU2ehUlpm via @CNNMex","Caso Ayotzinapa, tiene que aprender de Auschwitz blogs.cnnmexico.com/aristegui/2015… via @CNNMex",5.62184e+17,"{'username': 'enriqueg1969', 'displayname': 'enrique gonzalez', 'id': 1912099872, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2013-09-27T19:54:45+00:00', 'followersCount': 332, 'friendsCount': 1152, 'statusesCount': 7605, 'favouritesCount': 103, 'listedCount': 4, 'mediaCount': 2132, 'location': 'las vegas nv', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/900539664028676096/gAZ94OZ5_normal.jpg', 'profileBannerUrl': None, 'url': 'https://twitter.com/enriqueg1969'}",['http://blogs.cnnmexico.com/aristegui/2015/01/27/caso-ayotzinapa-tiene-que-aprender-de-auschwitz/'],['http://t.co/1FU2ehUlpm'],0,1,0,0,5.62184e+17,es,"<a href=""http://mobile.twitter.com"" rel=""nofollow"">Mobile Web</a>",http://mobile.twitter.com,Mobile Web,,,,"[{'username': 'CNNMex', 'displayname': 'CNN México', 'id': 832309426182901760, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/CNNMex'}]","Caso Ayotzinapa, tiene que aprender de Auschwitz via","['Caso', 'Ayotzinapa', ',', 'aprender', 'Auschwitz', 'via']"
